,query,verbs,nouns,verb_cancel
468,I need to add some items to an order,"need,add","items,order",False
469,help changing an item of an order,"help,changing","item,order",False
470,I am trying to change the last order I have made,"trying,change,made",order,False
471,I do not know how to add some items to an order,"know,add","items,order",False
472,how could I add an item?,add,item,False
473,I need to change the last order,"need,change",order,False
474,I cannot change an item of an order,change,"item,order",False
475,I do not know how I could add an item to an order,"know,add","item,order",False
476,I missed some items,missed,items,False
477,would it be possible to change something of an order?,change,order,False
478,I don't know how to remove an item,"know,remove",item,False
479,assistance with changing an order,changing,"assistance,order",False
480,I need assistance to change several items of an order,"need,change","assistance,items,order",False
481,can you help me to change my last order?,"help,change",order,False
482,can you help me remove something from an order?,"help,remove",order,False
483,I want help changing some items of an order,"want,changing","help,items,order",False
484,could you help me add some items?,"help,add",items,False
485,I am trying to change an order I made,"trying,change,made",order,False
486,I want help to remove an item from an order,"want,remove","help,item,order",False
487,change some items of an order,change,"items,order",False
488,I need help to add an item,"need,add","help,item",False
489,can I remove several items?,remove,items,False
490,help me to remove some items from an order,"help,remove","items,order",False
491,question about changing the order I made,"changing,made","question,order",False
492,I need help removing some items,"need,removing","help,items",False
493,could you help me adding an item to an order?,"help,adding","item,order",False
494,how to add something to an order?,add,order,False
495,I can't change my last order,change,order,False
496,I forgot to include some items in my order,"forgot,include","items,order",False
497,I have got to remove several items from an order,"got,remove","items,order",False
498,can you help me change my order?,"help,change",order,False
499,I want help changing the order I made,"want,changing,made","help,order",False
500,adding product to last order,adding,"product,order",False
501,help with changing something of an order,"help,changing",order,False
502,how could I change my order?,change,order,False
503,I forgot to include some items in the order,"forgot,include","items,order",False
504,problem with removing some items from an order,removing,"problem,items,order",False
505,help me to remove something from an order,"help,remove",order,False
506,I want help changing an order I made,"want,changing,made","help,order",False
507,how do I remove several items?,remove,items,False
508,I try to add several items,"try,add",items,False
509,I want assistance to remove something,"want,remove",assistance,False
510,I can't change an order,change,order,False
511,I have got to add an item,"got,add",item,False
512,help to remove some items from an order,"help,remove","items,order",False
513,I do not know how I can remove several items from an order,"know,remove","items,order",False
514,help to change the last order I have made,"help,change,made",order,False
515,I have a question about changing the order I have made,"have,changing,made","question,order",False
516,could you help me to add an item to an order?,"help,add","item,order",False
517,I purchased the wrong item,purchased,item,False
518,problem with adding an item,adding,"problem,item",False
519,I need assistance removing something,"need,removing",assistance,False
520,assistance adding an item,adding,"assistance,item",False
521,I have got to change an order I made,"got,change,made",order,False
522,I want assistance to change several items of an order,"want,change","assistance,items,order",False
523,information about order changes,,"information,order,changes",False
524,I need information about orders,need,"information,orders",False
525,I have got to change an item of an order,"got,change","item,order",False
526,I need assistance removing several items from an order,"need,removing","assistance,items,order",False
527,I need assistance with adding an item,"need,adding","assistance,item",False
528,I cannot remove several items,remove,items,False
529,can you help me adding several items?,"help,adding",items,False
530,assistance with changing several items of an order,changing,"assistance,items,order",False
531,could you help me to change the order I have made?,"help,change,made",order,False
532,help with changing the order I made,"help,changing,made",order,False
533,I need assistance to remove an item from an order,"need,remove","assistance,item,order",False
534,I do not know how I could remove an item from an order,"know,remove","item,order",False
535,I need assistance with removing several items from an order,"need,removing","assistance,items,order",False
536,where could I find information about changing an order?,"find,changing","information,order",False
537,I want assistance to change an order,"want,change","assistance,order",False
538,change order,,"change,order",False
539,I don't know how I could remove several items from an order,"know,remove","items,order",False
540,how can I change the last order I have made?,"change,made",order,False
541,can you help me to change the last order I made?,"help,change,made",order,False
542,I have forgotten to include several items in my order,"forgotten,include","items,order",False
543,could you help me change an order I have made?,"help,change,made",order,False
544,remove something,remove,,False
545,would it be possible to change an order?,change,order,False
546,I would like to add some items to an order,"like,add","items,order",False
547,I want assistance to remove several items from an order,"want,remove","assistance,items,order",False
548,I have a question about changing my orders,"have,changing","question,orders",False
549,I cannot add some items,add,items,False
550,I need help to add some items,"need,add","help,items",False
551,I need help adding several items,"need,adding","help,items",False
552,I cannot change my last order,change,order,False
553,I have to add some items to an order,"have,add","items,order",False
554,help me changing an order I have made,"help,changing,made",order,False
555,how could I change an item of an order?,change,"item,order",False
556,assistance adding something,adding,assistance,False
557,I want information about changing an order,"want,changing","information,order",False
558,could you help me changing my order?,"help,changing",order,False
559,I have a problem with adding several items to an order,"have,adding","problem,items,order",False
560,help to change an order,"help,change",order,False
561,I have got to add several items,"got,add",items,False
562,would it be possible to remove an item?,remove,item,False
563,can you help me remove something?,"help,remove",,False
564,I want help to add some items,"want,add","help,items",False
565,could you help me remove several items?,"help,remove",items,False
566,can you help me remove some items from an order?,"help,remove","items,order",False
567,help me adding several items,"help,adding",items,False
568,problem with removing something from an order,removing,"problem,order",False
569,I am trying to add something to an order,"trying,add",order,False
570,would it be possible to change an order I have made?,"change,made",order,False
571,help me add several items to an order,"help,add","items,order",False
572,I want help removing an item,"want,removing","help,item",False
573,could you help me add several items?,"help,add",items,False
574,I have problems with removing some items,"have,removing","problems,items",False
575,assistance to change my order,change,"assistance,order",False
576,how to remove some items from an order?,remove,"items,order",False
577,I need help to add an item to an order,"need,add","help,item,order",False
578,help with changing my order,"help,changing",order,False
579,problem with changing several items of an order,changing,"problem,items,order",False
580,I have problems with changing an order I have made,"have,changing,made","problems,order",False
581,I don't know how to change some items of an order,"know,change","items,order",False
582,I need assistance to remove an item,"need,remove","assistance,item",False
583,I have got to change an order,"got,change",order,False
584,could I remove several items from an order?,remove,"items,order",False
585,can you help me adding some items to an order?,"help,adding","items,order",False
586,I need assistance with changing some items of an order,"need,changing","assistance,items,order",False
587,could you help me remove some items?,"help,remove",items,False
588,is it possible to remove some items?,remove,items,False
589,how can I change several items of an order?,change,"items,order",False
590,I want help removing several items from an order,"want,removing","help,items,order",False
591,can I change the order I have made?,"change,made",order,False
592,I don't know how I could add some items,"know,add",items,False
593,I try to change several items of an order,"try,change","items,order",False
594,can I change the last order?,change,order,False
595,I cannot remove some items,remove,items,False
596,I need assistance changing several items of an order,"need,changing","assistance,items,order",False
597,would it be possible to change some items of an order?,change,"items,order",False
598,is it possible to add some items?,add,items,False
599,I would like to change the last order,"like,change",order,False
600,I have problems with changing orders,"have,changing","problems,orders",False
601,I don't know how I can add several items,"know,add",items,False
602,I try to change an item of an order,"try,change","item,order",False
603,help changing an order,"help,changing",order,False
604,I want help to add something,"want,add",help,False
605,I have a problem with adding an item,"have,adding","problem,item",False
606,I have a problem with changing the last order,"have,changing","problem,order",False
607,can you help me to change some items of an order?,"help,change","items,order",False
608,I cannot change the last order,change,order,False
609,I have an error correcting the shipping address,"have,correcting","error,shipping,address",False
610,i need assistance trying to update my delivery address,"need,trying,update","assistance,delivery,address",False
611,information about updating my shipping address,updating,"information,shipping,address",False
612,give me information about editing the delivery address,"give,editing","information,delivery,address",False
613,tell me more about changing the shipping address,"tell,changing","shipping,address",False
614,I have an issue trying to correct the address,"have,trying,correct","issue,address",False
615,I want to know more about changing the shipping address,"want,know,changing","shipping,address",False
616,assistance changing the shipping address,changing,"assistance,shipping,address",False
617,could you help me to change the shipping address?,"help,change","shipping,address",False
618,my shipping address has changed,changed,"shipping,address",False
619,i want assistance to modify the address,"want,modify","assistance,address",False
620,I want assistance changing the shipping address,"want,changing","assistance,shipping,address",False
621,could you help me to change my shipping address?,"help,change","shipping,address",False
622,I put the old address by mistake,put,"address,mistake",False
623,i need asistance trying to edit my shipping address,"need,trying,edit","asistance,shipping,address",False
624,I have an issue trying to change the shipping address,"have,trying,change","issue,shipping,address",False
625,I have issues changing the shipping address,"have,changing","issues,shipping,address",False
626,can you tell me about updating the address?,"tell,updating",address,False
627,can you help me change the shipping address?,"help,change","shipping,address",False
628,need assistance to edit my delivery address,"need,edit","assistance,delivery,address",False
629,how can I change the shipping address?,change,"shipping,address",False
630,I want help trying to change the shipping address,"want,trying,change","help,shipping,address",False
631,I don't know how to change the shipping address,"know,change","shipping,address",False
632,can you tell me more about changing the shipping address?,"tell,changing","shipping,address",False
633,i havesubmitted a wrong delivery address how do i correct it,"havesubmitted,correct","delivery,address",False
634,help to change the shipping address,"help,change","shipping,address",False
635,I want assistance to change the shipping address,"want,change","assistance,shipping,address",False
636,I would like to know more about changing my shipping address,"like,know,changing","shipping,address",False
637,I do not know how to change my shipping address,"know,change","shipping,address",False
638,I have to change the shipping address,"have,change","shipping,address",False
639,I need to change my shipping address,"need,change","shipping,address",False
640,where could I change my shipping address?,change,"shipping,address",False
641,I want help changing the shipping address,"want,changing","help,shipping,address",False
642,I have put my old address by mistake,put,"address,mistake",False
643,I do not know how I could change the shipping address,"know,change","shipping,address",False
644,I want help changing my shipping address,"want,changing","help,shipping,address",False
645,I put my old address by mistake,put,"address,mistake",False
646,information about a shipping address change,,"information,shipping,address,change",False
647,where to change the shipping address?,change,"shipping,address",False
648,I want to know about changing the shipping address,"want,know,changing","shipping,address",False
649,I have issues updating my address,"have,updating","issues,address",False
650,wanna update the address,update,address,False
651,I try to change my shipping address,"try,change","shipping,address",False
652,I'm looking for information about modifying my address,"looking,modifying","information,address",False
653,question about a shipping address change,,"question,shipping,address,change",False
654,i chose a wrong delivery address by mistake can i correct it,"chose,correct","delivery,address,mistake",False
655,i need assistance to update the delivery address,"need,update","assistance,delivery,address",False
656,I want ot update the address,"want,update",address,False
657,I want to know more about updating the delivery addresxs,"want,know,updating","delivery,addresxs",False
658,what do i need to do to edit the address,"need,do,edit",address,False
659,I don't know how I could change my shipping address,"know,change","shipping,address",False
660,error changing delivery address,changing,"error,delivery,address",False
661,the address has canged how can i correct it,"canged,correct",address,False
662,I am looking for information about a shipping address change,looking,"information,shipping,address,change",False
663,where can I get information about a shipping address change?,get,"information,shipping,address,change",False
664,I want information about changing the shipping address,"want,changing","information,shipping,address",False
665,I have troubles trying to modify the address,"have,trying,modify","troubles,address",False
666,could you tell me more about changing the shipping address?,"tell,changing","shipping,address",False
667,what do I need to do to change the shipping address?,"need,do,change","shipping,address",False
668,where can I change my shipping address?,change,"shipping,address",False
669,want supports trying to change my damn address,"want,trying,change","supports,address",False
670,I want to know more about changing my shipping address,"want,know,changing","shipping,address",False
671,i have submitted a wrong delivery address can uupdatte it,"submitted,uupdatte","delivery,address",False
672,is it possible to change my shipping address?,change,"shipping,address",False
673,changing shipping address,changing,"shipping,address",False
674,I am trying to edit my address,"trying,edit",address,False
675,I need information about changing my shipping address,"need,changing","information,shipping,address",False
676,help changing the shipping address,"help,changing","shipping,address",False
677,help trying to change the shipping address,"help,trying,change","shipping,address",False
678,there are troubles updating the address,"are,updating","troubles,address",False
679,problem with a shipping address change,,"problem,shipping,address,change",False
680,I would like to change the shipping address,"like,change","shipping,address",False
681,could I change my shipping address?,change,"shipping,address",False
682,I need assistance to change the shipping address,"need,change","assistance,shipping,address",False
683,I have a question about a shipping address change,have,"question,shipping,address,change",False
684,give me information about a delivery address change,give,"information,delivery,address,change",False
685,I don't know how to change my shipping address,"know,change","shipping,address",False
686,where do I change my shipping address?,change,"shipping,address",False
687,i have problems trying to correct my shipping address,"have,trying,correct","problems,shipping,address",False
688,i want support trying to update my delivery address,"want,trying,update","support,delivery,address",False
689,I want help to change my shipping address,"want,change","help,shipping,address",False
690,I chose a wrong shipping address,chose,"shipping,address",False
691,I have chosen a wrong shipping address by mistake,chosen,"shipping,address,mistake",False
692,could you help me changing the shipping address?,"help,changing","shipping,address",False
693,I do not know how I can change my shipping address,"know,change","shipping,address",False
694,could you tell me about changing my shipping address?,"tell,changing","shipping,address",False
695,could you help me changing my shipping address?,"help,changing","shipping,address",False
696,I have problems with a shipping address change,have,"problems,shipping,address,change",False
697,there is a problem trying to correct the delivery address,"is,trying,correct","problem,delivery,address",False
698,I cannot correct the delivery address,correct,"delivery,address",False
699,I need help changing my shipping address,"need,changing","help,shipping,address",False
700,could you help me change the shipping address?,"help,change","shipping,address",False
701,i have tto update my delivery address can i get some help,"have,update,get","delivery,address,help",False
702,assistance trying to correct my delivery address,"trying,correct","assistance,delivery,address",False
703,I have a trouble trying to change the address,"have,trying,change","trouble,address",False
704,how could I change my shipping address?,change,"shipping,address",False
705,I want help to change the shipping address,"want,change","help,shipping,address",False
706,help me correcting the delivery address,"help,correcting","delivery,address",False
707,I need assistance changing the shipping address,"need,changing","assistance,shipping,address",False
708,could I change the shipping address?,change,"shipping,address",False
709,i dont know hwat i need to do to edit the shipping address,"know,need,do,edit","shipping,address",False
710,I don't know what I need to do to change my shipping address,"know,need,do,change","shipping,address",False
711,tell me more about a shipping address change,tell,"shipping,address,change",False
712,I would like information about a shipping address change,like,"information,shipping,address,change",False
713,I would like to know about changing the shipping address,"like,know,changing","shipping,address",False
714,I want help to update my address,"want,update","help,address",False
715,give me information about changing the shipping address,"give,changing","information,shipping,address",False
716,find information about a shipping address change,find,"information,shipping,address,change",False
717,i want supports modifying my address,"want,supports,modifying",address,False
718,I want help trying to change my shipping address,"want,trying,change","help,shipping,address",False
719,I need assistance to change my shipping address,"need,change","assistance,shipping,address",False
720,issues changing shipping address,changing,"issues,shipping,address",False
721,tell me about changing the shipping address,"tell,changing","shipping,address",False
722,help me to change my shipping address,"help,change","shipping,address",False
723,I have put the old address by mistake,put,"address,mistake",False
724,how could I get information about a shipping address change?,get,"information,shipping,address,change",False
725,tell me about a shipping address change,tell,"shipping,address,change",False
726,where can I change the shipping address?,change,"shipping,address",False
727,could you help me change my shipping address?,"help,change","shipping,address",False
728,I do not know how to change the shipping address,"know,change","shipping,address",False
729,how do I modify my delivery address?,modify,"delivery,address",False
730,supports trying to update my shipping address,"supports,trying,update","shipping,address",False
731,I need help trying to change my shipping address,"need,trying,change","help,shipping,address",False
732,tell me more about updating my address,"tell,updating",address,False
733,how can I get information about a shipping address change?,get,"information,shipping,address,change",False
734,I would like to change my shipping address,"like,change","shipping,address",False
735,I need to change the shipping address,"need,change","shipping,address",False
736,I cannot change my shipping address,change,"shipping,address",False
737,the address has changed can i edit it,"changed,edit",address,False
738,I do not knlw what I have to do to correct the address,"knlw,have,do,correct",address,False
739,i do not know how to editmy shipping address,know,"shipping,address",False
740,the shipping address changed,changed,"shipping,address",False
741,I have an issue changing my shipping address,"have,changing","issue,shipping,address",False
742,could you tell me more about a shipping address change?,tell,"shipping,address,change",False
743,I am looking for information about azn address modification,looking,"information,address,modification",False
744,I nede support trying to correct the delivery address,"trying,correct","nede,support,delivery,address",False
745,there is a problem updating my shipping address,"is,updating","problem,shipping,address",False
746,can you tell me about changing my shipping address?,"tell,changing","shipping,address",False
747,give me information about a shipping address change,give,"information,shipping,address,change",False
748,how could I change the shipping address?,change,"shipping,address",False
749,help me changing my delivery address,"help,changing","delivery,address",False
750,help me correct my delivery address,"help,correct","delivery,address",False
751,can uhelp me modify the address,"uhelp,modify",address,False
752,help changing my address,"help,changing",address,False
753,where could I change the shipping address?,change,"shipping,address",False
754,I need information about changing the shipping address,"need,changing","information,shipping,address",False
755,I need help to change my shipping address,"need,change","help,shipping,address",False
756,what do I need to do to change my shipping address?,"need,do,change","shipping,address",False
757,I have problems updating the delivery address,"have,updating","problems,delivery,address",False
758,I want to know about a shipping address change,"want,know","shipping,address,change",False
759,I want to change my shipping address,"want,change","shipping,address",False
760,i cannot upodate my shipping address,upodate,"shipping,address",False
761,what do I have to do to change the shipping address?,"have,do,change","shipping,address",False
762,error editing shipping address,,"error,editing,shipping,address",False
763,information about changing the shipping address,changing,"information,shipping,address",False
764,can you tell me more about a shipping address change?,tell,"shipping,address,change",False
765,I do not know what to do to change the shipping address,"know,do,change","shipping,address",False
766,I would like to know about a shipping address change,"like,know","shipping,address,change",False
767,what do I need to do to correct the address?,"need,do,correct",address,False
768,I want assistance to change my shipping address,"want,change","assistance,shipping,address",False
769,can I change the shipping address?,change,"shipping,address",False
770,where do I change the shipping address?,change,"shipping,address",False
771,can you tell me about changing the shipping address?,"tell,changing","shipping,address",False
772,tell me more about changing my shipping address,"tell,changing","shipping,address",False
773,i have a trouble trying to modify the shipping address,"have,trying,modify","trouble,shipping,address",False
774,can you help me to change my shipping address?,"help,change","shipping,address",False
775,give me information about changing my shipping address,"give,changing","information,shipping,address",False
776,information about changing my shipping address,changing,"information,shipping,address",False
777,i have submitted a wrong shipping address,submitted,"shipping,address",False
778,I want information about a shipping address change,want,"information,shipping,address,change",False
779,I need assistance changing my shipping address,"need,changing","assistance,shipping,address",False
780,I would like information about changing the shipping address,"like,changing","information,shipping,address",False
781,help me to change the shipping address,"help,change","shipping,address",False
782,change shipping address,change,"shipping,address",False
783,need help trying to modify my shipping address,"need,trying,modify","help,shipping,address",False
784,I want information about changing my shipping address,"want,changing","information,shipping,address",False
785,I don't know what to do to change the shipping address,"know,do,change","shipping,address",False
786,I don't know how I can change the shipping address,"know,change","shipping,address",False
787,help to change my shipping address,"help,change","shipping,address",False
788,I have a problem with a shipping address change,have,"problem,shipping,address,change",False
789,how do I change the shipping address?,change,"shipping,address",False
790,I have an issue trying to change my shipping address,"have,trying,change","issue,shipping,address",False
791,I have issues trying to change the shipping address,"have,trying,change","issues,shipping,address",False
792,issue changing shipping address,changing,"issue,shipping,address",False
793,find information about changing the shipping address,"find,changing","information,shipping,address",False
794,want support changing the shipping address,"want,changing","support,shipping,address",False
795,can I change my shipping address?,change,"shipping,address",False
796,I need help with a shipping address change,need,"help,shipping,address,change",False
797,I am trying to change my shipping address,"trying,change","shipping,address",False
798,I cannot corrdct my shipping address,corrdct,"shipping,address",False
799,could you tell me about a shipping address change?,tell,"shipping,address,change",False
800,I have an error updating the damn shipping address,"have,updating","error,shipping,address",False
801,I cannot change the shipping address,change,"shipping,address",False
802,can you help me changing the shipping address?,"help,changing","shipping,address",False
803,i have an issue trying to edit my goddamn delivery address,"have,trying,edit","issue,goddamn,delivery,address",False
804,is it possible to change the shipping address?,change,"shipping,address",False
805,problems with a shipping address change,,"problems,shipping,address,change",False
806,could you tell me about changing the shipping address?,"tell,changing","shipping,address",False
807,help me changing my shipping address,"help,changing","shipping,address",False
808,i have got to change the delivery address i need help,"got,change,need","delivery,address,help",False
809,how can I find information about editing the damn address ?,"find,editing","information,address",False
810,there is a problem trying to update the delivery address,"is,trying,update","problem,delivery,address",False
811,change the shipping address,change,"shipping,address",False
812,I am trying to change the shipping address,"trying,change","shipping,address",False
813,support trying to correct my shipping address,"trying,correct","support,shipping,address",False
814,I don't know what to do to change my shipping address,"know,do,change","shipping,address",False
815,how to correct my address?,correct,address,False
816,I have errors trying to update my shipping address,"have,trying,update","errors,shipping,address",False
817,help me change my shipping address,"help,change","shipping,address",False
