,query,verbs,nouns,verb_noun,cancel_noun_verb
96,I have got to cancel the last order I made,"got,cancel,made",order,"got,cancel,made,order",TRUE
97,I need assistance canceling the last order I have made,"need,canceling,made","assistance,order","need,canceling,made,assistance,order",TRUE
98,question about canceling orders,canceling,"question,orders","canceling,question,orders",TRUE
99,I do not know how I could cancel the order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
100,I have problems with canceling my last order,"have,canceling","problems,order","have,canceling,problems,order",TRUE
101,help with cancelling the order I have made,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
102,I need assistance with canceling the order I have made,"need,canceling,made","assistance,order","need,canceling,made,assistance,order",TRUE
103,problem with cancelling an order I have made,"cancelling,made","problem,order","cancelling,made,problem,order",TRUE
104,I try to cancel the last order I have made,"try,cancel,made",order,"try,cancel,made,order",TRUE
105,I would like to know about order cancellations,"like,know","order,cancellations","like,know,order,cancellations",TRUE
106,question about canceling my orders,canceling,"question,orders","canceling,question,orders",TRUE
107,I do not know how I could cancel my last order,"know,cancel",order,"know,cancel,order",TRUE
108,how do I cancel the last order I have made?,"cancel,made",order,"cancel,made,order",TRUE
109,I would like information about canceling an order,"like,canceling","information,order","like,canceling,information,order",TRUE
110,assistance cancelling my order,cancelling,"assistance,order","cancelling,assistance,order",TRUE
111,how to cancel the last order I have made?,"cancel,made",order,"cancel,made,order",TRUE
112,I am trying to find information about cancelling an order,"trying,find,cancelling","information,order","trying,find,cancelling,information,order",TRUE
113,can you help me to cancel the last order I have made?,"help,cancel,made",order,"help,cancel,made,order",TRUE
114,I need assistance cancelling an order,"need,cancelling","assistance,order","need,cancelling,assistance,order",TRUE
115,how could I cancel the last order I have made?,"cancel,made",order,"cancel,made,order",TRUE
116,I am looking for information about order cancelations,looking,"information,order,cancelations","looking,information,order,cancelations",TRUE
117,I have a problem with cancelling orders,"have,cancelling","problem,orders","have,cancelling,problem,orders",TRUE
118,can you give me information about cancelling orders?,"give,cancelling","information,orders","give,cancelling,information,orders",TRUE
119,I need assistance canceling the order I made,"need,canceling,made","assistance,order","need,canceling,made,assistance,order",TRUE
120,how can I cancel the last order I have made?,"cancel,made",order,"cancel,made,order",TRUE
121,help me canceling an order I made,"help,canceling,made",order,"help,canceling,made,order",TRUE
122,I want assistance cancelling an order I have made,"want,cancelling,made","assistance,order","want,cancelling,made,assistance,order",TRUE
123,I have a question about canceling the last order,"have,canceling","question,order","have,canceling,question,order",TRUE
124,I do not know how to cancel the last order I made,"know,cancel,made",order,"know,cancel,made,order",TRUE
125,would it be possible to cancel the last order I have made?,"cancel,made",order,"cancel,made,order",TRUE
126,I want help to cancel the order I have made,"want,cancel,made","help,order","want,cancel,made,help,order",TRUE
127,help me cancel the last order I made,"help,cancel,made",order,"help,cancel,made,order",TRUE
128,could you help me cancelling the order I made?,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
129,I need assistance with canceling my last order,"need,canceling","assistance,order","need,canceling,assistance,order",TRUE
130,can you help me cancel the last order?,"help,cancel",order,"help,cancel,order",TRUE
131,I do not want to pay for the last order I have made,"want,pay,made",order,"want,pay,made,order",FALSE
132,is it possible to cancel the last order I made?,"cancel,made",order,"cancel,made,order",TRUE
133,help with cancelling the last order I have made,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
134,assistance cancelling the order I made,"cancelling,made","assistance,order","cancelling,made,assistance,order",TRUE
135,I need help to cancel an order,"need,cancel","help,order","need,cancel,help,order",TRUE
136,I have a problem with cancelling my last order,"have,cancelling","problem,order","have,cancelling,problem,order",TRUE
137,I have problems with canceling the order I have made,"have,canceling,made","problems,order","have,canceling,made,problems,order",TRUE
138,I don't know how to cancel an order,"know,cancel",order,"know,cancel,order",TRUE
139,I am trying to cancel the last order,"trying,cancel",order,"trying,cancel,order",TRUE
140,help cancelling my order,"help,cancelling",order,"help,cancelling,order",TRUE
141,I don't know how I can cancel the last order I made,"know,cancel,made",order,"know,cancel,made,order",TRUE
142,I want help canceling the order I have made,"want,canceling,made","help,order","want,canceling,made,help,order",TRUE
143,I don't know how I could cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
144,will you give me information about canceling an order?,"give,canceling","information,order","give,canceling,information,order",TRUE
145,assistance with cancelling the last order I made,"cancelling,made","assistance,order","cancelling,made,assistance,order",TRUE
146,I need to cancel my order,"need,cancel",order,"need,cancel,order",TRUE
147,I do not want to pay for the order I made,"want,pay,made",order,"want,pay,made,order",FALSE
148,how can I cancel an order?,cancel,order,"cancel,order",TRUE
149,assistance canceling my last order,canceling,"assistance,order","canceling,assistance,order",TRUE
150,I have problems with cancelling the last order I made,"have,cancelling,made","problems,order","have,cancelling,made,problems,order",TRUE
151,I can't pay for the order I have made,"pay,made",order,"pay,made,order",FALSE
152,could you give me information about cancelling orders?,"give,cancelling","information,orders","give,cancelling,information,orders",TRUE
153,I do not know how to cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
154,where do I cancel the order I have made?,"cancel,made",order,"cancel,made,order",TRUE
155,I have a problem with canceling the last order I made,"have,canceling,made","problem,order","have,canceling,made,problem,order",TRUE
156,help canceling the last order,"help,canceling",order,"help,canceling,order",TRUE
157,I need help with canceling an order I made,"need,canceling,made","help,order","need,canceling,made,help,order",TRUE
158,help with cancelling the last order,"help,cancelling",order,"help,cancelling,order",TRUE
159,I want help to cancel my last order,"want,cancel","help,order","want,cancel,help,order",TRUE
160,I do not know how I could cancel the last order I made,"know,cancel,made",order,"know,cancel,made,order",TRUE
161,I want assistance to cancel the last order,"want,cancel","assistance,order","want,cancel,assistance,order",TRUE
162,where can I cancel the last order I made?,"cancel,made",order,"cancel,made,order",TRUE
163,can you tell me about order cancellations?,tell,"order,cancellations","tell,order,cancellations",TRUE
164,could you help me canceling an order I have made?,"help,canceling,made",order,"help,canceling,made,order",TRUE
165,assistance cancelling the last order I made,"cancelling,made","assistance,order","cancelling,made,assistance,order",TRUE
166,I would like to cancel the last order,"like,cancel",order,"like,cancel,order",TRUE
167,question about cancelling the last order,cancelling,"question,order","cancelling,question,order",TRUE
168,problem with canceling my last order,canceling,"problem,order","canceling,problem,order",TRUE
169,assistance cancelling an order I made,"cancelling,made","assistance,order","cancelling,made,assistance,order",TRUE
170,how can I cancel an order I have made?,"cancel,made",order,"cancel,made,order",TRUE
171,I have a problem with cancelling the order I made,"have,cancelling,made","problem,order","have,cancelling,made,problem,order",TRUE
172,problem with canceling the last order I have made,"canceling,made","problem,order","canceling,made,problem,order",TRUE
173,assistance canceling the order I made,"canceling,made","assistance,order","canceling,made,assistance,order",TRUE
174,how could I get information about cancelling orders?,"get,cancelling","information,orders","get,cancelling,information,orders",TRUE
175,I want information about cancelling orders,"want,cancelling","information,orders","want,cancelling,information,orders",TRUE
176,assistance cancelling my last order,cancelling,"assistance,order","cancelling,assistance,order",TRUE
177,give me information about cancelling orders,"give,cancelling","information,orders","give,cancelling,information,orders",TRUE
178,help to cancel an order I made,"help,cancel,made",order,"help,cancel,made,order",TRUE
179,can you help me to cancel an order I made?,"help,cancel,made",order,"help,cancel,made,order",TRUE
180,problem with canceling the order I made,"canceling,made","problem,order","canceling,made,problem,order",TRUE
181,I do not want to pay for my last order,"want,pay",order,"want,pay,order",FALSE
182,can you help me cancel my last order?,"help,cancel",order,"help,cancel,order",TRUE
183,I need assistance to cancel an order,"need,cancel","assistance,order","need,cancel,assistance,order",TRUE
184,where can I get information about order cancellations?,get,"information,order,cancellations","get,information,order,cancellations",TRUE
185,I want to cancel the last order I made,"want,cancel,made",order,"want,cancel,made,order",TRUE
186,I need help with cancelling an order,"need,cancelling","help,order","need,cancelling,help,order",TRUE
187,I want assistance canceling an order,"want,canceling","assistance,order","want,canceling,assistance,order",TRUE
188,I need assistance with cancelling an order,"need,cancelling","assistance,order","need,cancelling,assistance,order",TRUE
189,will you give me information about order cancelations?,give,"information,order,cancelations","give,information,order,cancelations",TRUE
190,I have got to cancel my order,"got,cancel",order,"got,cancel,order",TRUE
191,could you help me cancelling the last order?,"help,cancelling",order,"help,cancelling,order",TRUE
192,I don't want the order I have made,"want,made",order,"want,made,order",FALSE
193,I am trying to cancel the order I have made,"trying,cancel,made",order,"trying,cancel,made,order",TRUE
194,question about cancelling my last order,cancelling,"question,order","cancelling,question,order",TRUE
195,help me to cancel my last order,"help,cancel",order,"help,cancel,order",TRUE
196,I have a problem with canceling the last order I have made,"have,canceling,made","problem,order","have,canceling,made,problem,order",TRUE
197,help with canceling the order I have made,"help,canceling,made",order,"help,canceling,made,order",TRUE
198,could you help me cancel an order?,"help,cancel",order,"help,cancel,order",TRUE
199,would it be possible to cancel my order?,cancel,order,"cancel,order",TRUE
200,where can I get information about canceling an order?,"get,canceling","information,order","get,canceling,information,order",TRUE
201,where could I cancel the last order?,cancel,order,"cancel,order",TRUE
202,I have a problem with cancelling an order I made,"have,cancelling,made","problem,order","have,cancelling,made,problem,order",TRUE
203,is it possible to cancel an order I have made?,"cancel,made",order,"cancel,made,order",TRUE
204,canceling order,canceling,order,"canceling,order",TRUE
205,where could I cancel my order?,cancel,order,"cancel,order",TRUE
206,can you help me cancelling the order I made?,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
207,can you help me cancelling my order?,"help,cancelling",order,"help,cancelling,order",TRUE
208,I do not know how I can cancel the order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
209,help to cancel an order I have made,"help,cancel,made",order,"help,cancel,made,order",TRUE
210,I want help to cancel an order I have made,"want,cancel,made","help,order","want,cancel,made,help,order",TRUE
211,can you help me canceling the order I made?,"help,canceling,made",order,"help,canceling,made,order",TRUE
212,I need help canceling the order I have made,"need,canceling,made","help,order","need,canceling,made,help,order",TRUE
213,help canceling my last order,"help,canceling",order,"help,canceling,order",TRUE
214,problems with cancelling the order I made,"cancelling,made","problems,order","cancelling,made,problems,order",TRUE
215,I have problems with cancelling the order I have made,"have,cancelling,made","problems,order","have,cancelling,made,problems,order",TRUE
216,I have problems with canceling an order I have made,"have,canceling,made","problems,order","have,canceling,made,problems,order",TRUE
217,I have got to cancel an order,"got,cancel",order,"got,cancel,order",TRUE
218,I do not want to pay for an order I made,"want,pay,made",order,"want,pay,made,order",FALSE
219,I want to know about order cancellations,"want,know","order,cancellations","want,know,order,cancellations",TRUE
220,I want to know more about order cancellations,"want,know","order,cancellations","want,know,order,cancellations",TRUE
221,how could I cancel the last order I made?,"cancel,made",order,"cancel,made,order",TRUE
222,help with cancelling my last order,"help,cancelling",order,"help,cancelling,order",TRUE
223,could you tell me more about order cancellations?,tell,"order,cancellations","tell,order,cancellations",TRUE
224,help me canceling my last order,"help,canceling",order,"help,canceling,order",TRUE
225,how could I find information about order cancellations?,find,"information,order,cancellations","find,information,order,cancellations",TRUE
226,I have problems with canceling the last order I have made,"have,canceling,made","problems,order","have,canceling,made,problems,order",TRUE
227,how could I cancel an order I made?,"cancel,made",order,"cancel,made,order",TRUE
228,I cannot pay for my last order,pay,order,"pay,order",FALSE
229,tell me about order cancelations,tell,"order,cancelations","tell,order,cancelations",TRUE
230,I need assistance with canceling an order I made,"need,canceling,made","assistance,order","need,canceling,made,assistance,order",TRUE
231,I have a question about canceling the last order I made,"have,canceling,made","question,order","have,canceling,made,question,order",TRUE
232,where could I get information about canceling orders?,"get,canceling","information,orders","get,canceling,information,orders",TRUE
233,help me canceling the last order I have made,"help,canceling,made",order,"help,canceling,made,order",TRUE
234,I can't pay for an order I have made,"pay,made",order,"pay,made,order",FALSE
235,would you give me information about order cancelations?,give,"information,order,cancelations","give,information,order,cancelations",TRUE
236,how to cancel the last order I made?,"cancel,made",order,"cancel,made,order",TRUE
237,I have problems with cancelling an order,"have,cancelling","problems,order","have,cancelling,problems,order",TRUE
238,I need help canceling my order,"need,canceling","help,order","need,canceling,help,order",TRUE
239,help to cancel the order I made,"help,cancel,made",order,"help,cancel,made,order",TRUE
240,cancel order,cancel,order,"cancel,order",TRUE
241,I need help with canceling the last order I made,"need,canceling,made","help,order","need,canceling,made,help,order",TRUE
242,would it be possible to cancel the order I made?,"cancel,made",order,"cancel,made,order",TRUE
243,I need help to cancel my order,"need,cancel","help,order","need,cancel,help,order",TRUE
244,help me canceling the last order I made,"help,canceling,made",order,"help,canceling,made,order",TRUE
245,can you help me cancel the order I made?,"help,cancel,made",order,"help,cancel,made,order",TRUE
246,help to cancel the last order,"help,cancel",order,"help,cancel,order",TRUE
247,help me cancelling my last order,"help,cancelling",order,"help,cancelling,order",TRUE
248,I want assistance to cancel the order I have made,"want,cancel,made","assistance,order","want,cancel,made,assistance,order",TRUE
249,where could I cancel an order I made?,"cancel,made",order,"cancel,made,order",TRUE
250,how can I cancel an order I made?,"cancel,made",order,"cancel,made,order",TRUE
251,I need assistance with canceling the last order,"need,canceling","assistance,order","need,canceling,assistance,order",TRUE
252,how could I get information about order cancelations?,get,"information,order,cancelations","get,information,order,cancelations",TRUE
253,I have problems with canceling orders,"have,canceling","problems,orders","have,canceling,problems,orders",TRUE
254,I don't want to pay for the last order I have made,"want,pay,made",order,"want,pay,made,order",FALSE
255,where could I get information about cancelling an order?,"get,cancelling","information,order","get,cancelling,information,order",TRUE
256,I don't know how to cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
257,I have a question about canceling my order,"have,canceling","question,order","have,canceling,question,order",TRUE
258,I have a question about canceling orders,"have,canceling","question,orders","have,canceling,question,orders",TRUE
259,can you help me canceling the last order?,"help,canceling",order,"help,canceling,order",TRUE
260,I need assistance with cancelling the last order,"need,cancelling","assistance,order","need,cancelling,assistance,order",TRUE
261,could you help me cancelling an order?,"help,cancelling",order,"help,cancelling,order",TRUE
262,I have a problem with canceling an order,"have,canceling","problem,order","have,canceling,problem,order",TRUE
263,order cancellation,,"order,cancellation",",order,cancellation",TRUE
264,help cancelling the last order I have made,"help,cancelling,made",order,"help,cancelling,made,order",TRUE
265,question about cancelling an order I have made,"cancelling,made","question,order","cancelling,made,question,order",TRUE
266,help canceling an order,"help,canceling",order,"help,canceling,order",TRUE
267,question about cancelling orders,cancelling,"question,orders","cancelling,question,orders",TRUE
268,help me cancelling my order,"help,cancelling",order,"help,cancelling,order",TRUE
269,how do I cancel an order I made?,"cancel,made",order,"cancel,made,order",TRUE
270,I have got to cancel the order I have made,"got,cancel,made",order,"got,cancel,made,order",TRUE
271,I don't want the last order I made,"want,made",order,"want,made,order",FALSE
272,I would like to know more about order cancellations,"like,know","order,cancellations","like,know,order,cancellations",TRUE
273,tell me more about order cancelations,tell,"order,cancelations","tell,order,cancelations",TRUE
274,information about canceling an order,canceling,"information,order","canceling,information,order",TRUE
275,I have a question about cancelling my order,"have,cancelling","question,order","have,cancelling,question,order",TRUE
276,I have a problem with cancelling my order,"have,cancelling","problem,order","have,cancelling,problem,order",TRUE
277,order cancelation,,"order,cancelation",",order,cancelation",TRUE
278,question about canceling my last order,canceling,"question,order","canceling,question,order",TRUE
279,assistance with cancelling the order I have made,"cancelling,made","assistance,order","cancelling,made,assistance,order",TRUE
280,how to cancel my order?,cancel,order,"cancel,order",TRUE
281,I am trying to cancel an order I made,"trying,cancel,made",order,"trying,cancel,made,order",TRUE
282,I do not know how I could cancel an order,"know,cancel",order,"know,cancel,order",TRUE
283,I don't know how I can cancel the last order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
284,I don't know how I can cancel an order I have made,"know,cancel,made",order,"know,cancel,made,order",TRUE
285,could you help me cancel the order I have made?,"help,cancel,made",order,"help,cancel,made,order",TRUE
286,help canceling the order I have made,"help,canceling,made",order,"help,canceling,made,order",TRUE
287,problems with canceling the order I made,"canceling,made","problems,order","canceling,made,problems,order",TRUE
288,I need help canceling the last order,"need,canceling","help,order","need,canceling,help,order",TRUE
289,I need assistance with cancelling the order I made,"need,cancelling,made","assistance,order","need,cancelling,made,assistance,order",TRUE
290,I don't know how to cancel my order,"know,cancel",order,"know,cancel,order",TRUE
291,I am trying to find information about canceling an order,"trying,find,canceling","information,order","trying,find,canceling,information,order",TRUE
292,I have to cancel the order I made,"have,cancel,made",order,"have,cancel,made,order",TRUE
293,assistance cancelling an order,cancelling,"assistance,order","cancelling,assistance,order",TRUE
294,I need assistance with cancelling my orders,"need,cancelling","assistance,orders","need,cancelling,assistance,orders",TRUE
295,is it possible to cancel the last order?,cancel,order,"cancel,order",TRUE
296,find information about order cancelations,find,"information,order,cancelations","find,information,order,cancelations",TRUE
297,I have a question about cancelling an order,"have,cancelling","question,order","have,cancelling,question,order",TRUE
298,assistance cancelling the last order,cancelling,"assistance,order","cancelling,assistance,order",TRUE
299,I don't want an order I have made,"want,made",order,"want,made,order",FALSE
300,help me cancel the order I made,"help,cancel,made",order,"help,cancel,made,order",TRUE
301,I have to cancel an order I have made,"have,cancel,made",order,"have,cancel,made,order",TRUE
302,I don't know how I can cancel the last order,"know,cancel",order,"know,cancel,order",TRUE
303,could you help me canceling the order I have made?,"help,canceling,made",order,"help,canceling,made,order",TRUE
304,could you help me to cancel my last order?,"help,cancel",order,"help,cancel,order",TRUE
305,can you help me to add something to an order?,"help,add",order,"help,add,order",FALSE
306,can you help me removing some items?,"help,removing",items,"help,removing,items",FALSE
307,help adding an item,"help,adding",item,"help,adding,item",FALSE
308,I try to change my last order,"try,change",order,"try,change,order",FALSE
309,could I add an item to an order?,add,"item,order","add,item,order",FALSE
310,I have problems with removing an item,"have,removing","problems,item","have,removing,problems,item",FALSE
311,I have a problem with removing several items,"have,removing","problem,items","have,removing,problem,items",FALSE
312,I have to change my order,"have,change",order,"have,change,order",FALSE
313,I have a problem with removing something,"have,removing",problem,"have,removing,problem",FALSE
314,I have got to change several items of an order,"got,change","items,order","got,change,items,order",FALSE
315,I don't know how I could add something,"know,add",,"know,add,",FALSE
316,I don't know how to change an item of an order,"know,change","item,order","know,change,item,order",FALSE
317,assistance with removing several items from an order,removing,"assistance,items,order","removing,assistance,items,order",FALSE
318,I want assistance to change an order I made,"want,change,made","assistance,order","want,change,made,assistance,order",FALSE
319,how can I change something of an order?,change,order,"change,order",FALSE
320,I need help with removing something,"need,removing",help,"need,removing,help",FALSE
321,I need help to add several items,"need,add","help,items","need,add,help,items",FALSE
322,I would like to add several items to an order,"like,add","items,order","like,add,items,order",FALSE
323,I don't know how I can remove several items from an order,"know,remove","items,order","know,remove,items,order",FALSE
324,can I change the order I made?,"change,made",order,"change,made,order",FALSE
325,could you help me change my order?,"help,change",order,"help,change,order",FALSE
326,I need help with changing the order I made,"need,changing,made","help,order","need,changing,made,help,order",FALSE
327,can you help me to remove something?,"help,remove",,"help,remove,",FALSE
328,how to add something?,add,,"add,",FALSE
329,assistance changing the last order I made,"changing,made","assistance,order","changing,made,assistance,order",FALSE
330,can you help me to remove an item?,"help,remove",item,"help,remove,item",FALSE
331,how to change an order?,change,order,"change,order",FALSE
332,help to add several items to an order,"help,add","items,order","help,add,items,order",FALSE
333,I want to remove an item from an order,"want,remove","item,order","want,remove,item,order",FALSE
334,I have to remove several items,"have,remove",items,"have,remove,items",FALSE
335,I have forgotten to include an item,"forgotten,include",item,"forgotten,include,item",FALSE
336,could I add something to an order?,add,order,"add,order",FALSE
337,I have to add something,"have,add",,"have,add,",FALSE
338,remove some items from an order,remove,"items,order","remove,items,order",FALSE
339,help me remove an item from an order,"help,remove","item,order","help,remove,item,order",FALSE
340,can you help me changing the order I made?,"help,changing,made",order,"help,changing,made,order",FALSE
341,remove item from order,remove,"item,order","remove,item,order",FALSE
342,question about changing an order,changing,"question,order","changing,question,order",FALSE
343,how could I remove several items from an order?,remove,"items,order","remove,items,order",FALSE
344,I have to add several items to an order,"have,add","items,order","have,add,items,order",FALSE
345,problem with adding something,adding,problem,"adding,problem",FALSE
346,change an order,change,order,"change,order",FALSE
347,can you help me to change an order I have made?,"help,change,made",order,"help,change,made,order",FALSE
348,could you help me add something to an order?,"help,add",order,"help,add,order",FALSE
349,could you help me change the order I have made?,"help,change,made",order,"help,change,made,order",FALSE
350,help to add an item,"help,add",item,"help,add,item",FALSE
