query,verbs,nouns,verb_noun,Subject,Intent,Sentiment
can you help me to cancel my order?,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
can you help me cancel the last order?,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
can you help me cancel my last order?,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
help me to cancel my last order,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
could you help me cancel an order?,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
help to cancel the last order,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
could you help me to cancel my last order?,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
help me cancel an order,"help,cancel",order,"help,cancel,order",order,cancellation,Positive
help me canceling the order I made,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
help with canceling an order I made,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
help with canceling the order I made,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
help me canceling an order I made,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
could you help me canceling an order I have made?,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
help with canceling the order I have made,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
can you help me canceling the order I made?,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
help me canceling the last order I have made,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
help me canceling the last order I made,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
help canceling the order I have made,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
could you help me canceling the order I have made?,"help,canceling,made",order,"help,canceling,made,order",order,cancellation,Positive
I don't know how to cancel my last order,"know,cancel",order,"know,cancel,order",order,cancellation,Negative
I do not know how I could cancel my last order,"know,cancel",order,"know,cancel,order",order,cancellation,Negative
I don't know how to cancel an order,"know,cancel",order,"know,cancel,order",order,cancellation,Negative
I do not know how I could cancel an order,"know,cancel",order,"know,cancel,order",order,cancellation,Negative
I don't know how to cancel my order,"know,cancel",order,"know,cancel,order",order,cancellation,Negative
I don't know how I can cancel the last order,"know,cancel",order,"know,cancel,order",order,cancellation,Negative
I have to cancel my last order,"have,cancel",order,"have,cancel,order",order,cancellation,Negative
I am trying to cancel the last order,"trying,cancel",order,"trying,cancel,order",order,cancellation,Negative
help cancelling my order,"help,cancelling",order,"help,cancelling,order",order,cancellation,Positive
help with cancelling the last order,"help,cancelling",order,"help,cancelling,order",order,cancellation,Positive
could you help me cancelling the last order?,"help,cancelling",order,"help,cancelling,order",order,cancellation,Positive
can you help me cancelling my order?,"help,cancelling",order,"help,cancelling,order",order,cancellation,Positive
help with cancelling my last order,"help,cancelling",order,"help,cancelling,order",order,cancellation,Positive
help me cancelling my last order,"help,cancelling",order,"help,cancelling,order",order,cancellation,Positive
could you help me cancelling an order?,"help,cancelling",order,"help,cancelling,order",order,cancellation,Positive
help me cancelling my order,"help,cancelling",order,"help,cancelling,order",order,cancellation,Positive
I need to cancel my order,"need,cancel",order,"need,cancel,order",order,cancellation,Negative
I have got to cancel my order,"got,cancel",order,"got,cancel,order",order,cancellation,Negative
I have got to cancel an order,"got,cancel",order,"got,cancel,order",order,cancellation,Negative
I try to change my last order,"try,change",order,"try,change,order",order,modification,Neutral
I have to change my order,"have,change",order,"have,change,order",order,modification,Neutral
I have to change my last order,"have,change",order,"have,change,order",order,modification,Neutral
how can I change something of an order?,change,order,"change,order",order,modification,Neutral
how to change an order?,change,order,"change,order",order,modification,Neutral
change an order,change,order,"change,order",order,modification,Neutral
is it possible to change an order?,change,order,"change,order",order,modification,Neutral
would it be possible to change something of an order?,change,order,"change,order",order,modification,Neutral
I can't change my last order,change,order,"change,order",order,modification,Neutral
how could I change my order?,change,order,"change,order",order,modification,Neutral
I can't change an order,change,order,"change,order",order,modification,Neutral
would it be possible to change an order?,change,order,"change,order",order,modification,Neutral
I cannot change my last order,change,order,"change,order",order,modification,Neutral
can I change the last order?,change,order,"change,order",order,modification,Neutral
I cannot change the last order,change,order,"change,order",order,modification,Neutral
how do I change my order?,change,order,"change,order",order,modification,Neutral
is it possibel to change my order?,change,order,"change,order",order,modification,Neutral
how can I change my order?,change,order,"change,order",order,modification,Neutral
how to change my order,change,order,"change,order",order,modification,Neutral
where do I change my order?,change,order,"change,order",order,modification,Neutral
can I change my order?,change,order,"change,order",order,modification,Neutral
where to change my order,change,order,"change,order",order,modification,Neutral
could I change my order?,change,order,"change,order",order,modification,Neutral
where can I change my order?,change,order,"change,order",order,modification,Neutral
can I change the order I made?,"change,made",order,"change,made,order",order,modification,Neutral
is it possible to change the order I have made?,"change,made",order,"change,made,order",order,modification,Neutral
is it possible to change an order I have made?,"change,made",order,"change,made,order",order,modification,Neutral
is it possible to change an order I made?,"change,made",order,"change,made,order",order,modification,Neutral
how to change the last order I have made?,"change,made",order,"change,made,order",order,modification,Neutral
could I change the order I made?,"change,made",order,"change,made,order",order,modification,Neutral
how can I change the last order I have made?,"change,made",order,"change,made,order",order,modification,Neutral
would it be possible to change an order I have made?,"change,made",order,"change,made,order",order,modification,Neutral
can I change the order I have made?,"change,made",order,"change,made,order",order,modification,Neutral
could you help me change my order?,"help,change",order,"help,change,order",order,modification,Positive
help me change something of an order,"help,change",order,"help,change,order",order,modification,Positive
can you help me to change my last order?,"help,change",order,"help,change,order",order,modification,Positive
can you help me change my order?,"help,change",order,"help,change,order",order,modification,Positive
help to change an order,"help,change",order,"help,change,order",order,modification,Positive
can you help me to change an order I have made?,"help,change,made",order,"help,change,made,order",order,modification,Positive
could you help me change the order I have made?,"help,change,made",order,"help,change,made,order",order,modification,Positive
help to change an order I have made,"help,change,made",order,"help,change,made,order",order,modification,Positive
help to change the order I made,"help,change,made",order,"help,change,made,order",order,modification,Positive
help to change the last order I made,"help,change,made",order,"help,change,made,order",order,modification,Positive
could you help me change the order I made?,"help,change,made",order,"help,change,made,order",order,modification,Positive
help to change the last order I have made,"help,change,made",order,"help,change,made,order",order,modification,Positive
could you help me to change the order I have made?,"help,change,made",order,"help,change,made,order",order,modification,Positive
can you help me to change the last order I made?,"help,change,made",order,"help,change,made,order",order,modification,Positive
could you help me change an order I have made?,"help,change,made",order,"help,change,made,order",order,modification,Positive
I am trying to change my last order,"trying,change",order,"trying,change,order",order,modification,Neutral
I want to change something of an order,"want,change",order,"want,change,order",order,modification,Positive
I want to change my order,"want,change",order,"want,change,order",order,modification,Positive
i want to knolw if i can change my order,"want,change",order,"want,change,order",order,modification,Positive
I need to change the last order,"need,change",order,"need,change,order",order,modification,Neutral
change order,,"change,order",",change,order",order,modification,Neutral
I have got to change an order,"got,change",order,"got,change,order",order,modification,Neutral
I would like to change the last order,"like,change",order,"like,change,order",order,modification,Positive
how do i create a goddamn new account,create,account,"create,account",account,set_up,Negative
is it possible to create a different account?,create,account,"create,account",account,set_up,Positive
can I create an account?,create,account,"create,account",account,set_up,Positive
could I create another standard account?,create,account,"create,account",account,set_up,Positive
how could I create an account?,create,account,"create,account",account,set_up,Positive
how do I create an account?,create,account,"create,account",account,set_up,Positive
how can I create an account?,create,account,"create,account",account,set_up,Positive
is it possible to create another online account?,create,account,"create,account",account,set_up,Positive
how to create an account?,create,account,"create,account",account,set_up,Positive
is it possxible to create a basic account,create,account,"create,account",account,set_up,Positive
create account,create,account,"create,account",account,set_up,Positive
would it be possible to create an account?,create,account,"create,account",account,set_up,Positive
is it possible to create an account?,create,account,"create,account",account,set_up,Positive
could I create an account?,create,account,"create,account",account,set_up,Positive
how can I create an online account?,create,account,"create,account",account,set_up,Positive
where can i create an account?,create,account,"create,account",account,set_up,Positive
how to create an online account,create,account,"create,account",account,set_up,Positive
can i create an online account?,create,account,"create,account",account,set_up,Positive
i wanna create an account,create,account,"create,account",account,set_up,Positive
how can i create an online account?,create,account,"create,account",account,set_up,Positive
how can I create an account?,create,account,"create,account",account,set_up,Positive
where do I create an account?,create,account,"create,account",account,set_up,Positive
how do I create an account?,create,account,"create,account",account,set_up,Positive
can I create an online account?,create,account,"create,account",account,set_up,Positive
where can I create an account?,create,account,"create,account",account,set_up,Positive
where do I create an online account?,create,account,"create,account",account,set_up,Positive
can I create an account?,create,account,"create,account",account,set_up,Positive
where to create an account,create,account,"create,account",account,set_up,Positive
how to create an account,create,account,"create,account",account,set_up,Positive
"I do not ahve a user account, help me to register","ahve,help,register","user,account","ahve,help,register,user,account",account,set_up,Positive
could I register?,register,,"register,",account,set_up,Neutral
is it possible to register?,register,,"register,",account,set_up,Neutral
can I register?,register,,"register,",account,set_up,Neutral
how to register?,register,,"register,",account,set_up,Neutral
how do I register?,register,,"register,",account,set_up,Neutral
register,register,,"register,",account,set_up,Neutral
would it be possible to register?,register,,"register,",account,set_up,Neutral
how can I register?,register,,"register,",account,set_up,Neutral
how could I register?,register,,"register,",account,set_up,Neutral
can i register?,register,,"register,",account,set_up,Neutral
where odl i register?,register,,"register,",account,set_up,Neutral
how can I register?,register,,"register,",account,set_up,Neutral
how to register,register,,"register,",account,set_up,Neutral
how do I register?,register,,"register,",account,set_up,Neutral
wher to register,register,,"register,",account,set_up,Neutral
where can i register?,register,,"register,",account,set_up,Neutral
where can I register?,register,,"register,",account,set_up,Neutral
where do I register?,register,,"register,",account,set_up,Neutral
I can't register,register,,"register,",account,set_up,Neutral
I do not know what I have to do to create an account,"know,have,do,create",account,"know,have,do,create,account",account,set_up,Positive
I don't know what I have to do to create an account,"know,have,do,create",account,"know,have,do,create,account",account,set_up,Positive
what do I need to do to create an account?,"need,do,create",account,"need,do,create,account",account,set_up,Positive
what do I need to do to create another online account?,"need,do,create",account,"need,do,create,account",account,set_up,Positive
what do i need to do to create an account,"need,do,create",account,"need,do,create,account",account,set_up,Positive
"I need an online account, what should I do to create one?","need,do,create",account,"need,do,create,account",account,set_up,Positive
"I need an account , what can I do to create one?","need,do,create",account,"need,do,create,account",account,set_up,Positive
"I need an account, what should I do to create one?","need,do,create",account,"need,do,create,account",account,set_up,Positive
"i need an online account, what should i do to create one?","need,do,create",account,"need,do,create,account",account,set_up,Positive
"i need an online account, what can i do to create one?","need,do,create",account,"need,do,create,account",account,set_up,Positive
"I need an online account, what can I do to create one?","need,do,create",account,"need,do,create,account",account,set_up,Positive
i have got to create another online account,"got,create",account,"got,create,account",account,set_up,Positive
I have got to create a new online account,"got,create",account,"got,create,account",account,set_up,Positive
I have got to create an account,"got,create",account,"got,create,account",account,set_up,Positive
"I haven't got an account, can I create one?","got,create",account,"got,create,account",account,set_up,Positive
"I've got no account, can I create one?","got,create",account,"got,create,account",account,set_up,Negative
"I haven't got an online account, can you create one?","got,create",account,"got,create,account",account,set_up,Positive
ive got no online account and i wanna create one,"got,create",account,"got,create,account",account,set_up,Negative
"I haven't got an account, how do I create one?","got,create",account,"got,create,account",account,set_up,Positive
"I haven't got an account, create one","got,create",account,"got,create,account",account,set_up,Positive
"I've got no account, can you create one?","got,create",account,"got,create,account",account,set_up,Negative
"I haven't got an account, could you create one?","got,create",account,"got,create,account",account,set_up,Positive
"I haven't got an online account, how can I create one?","got,create",account,"got,create,account",account,set_up,Positive
"I've got no online account, how can I create one?","got,create",account,"got,create,account",account,set_up,Negative
"I've got no online account, how do I create one ?","got,create",account,"got,create,account",account,set_up,Negative
i havent got a online account and i wanna create one,"got,create",account,"got,create,account",account,set_up,Positive
"I've got no account, create one","got,create",account,"got,create,account",account,set_up,Negative
"ive got no online account, can i create one?","got,create",account,"got,create,account",account,set_up,Negative
"i havent got an online account, how do i create one?","got,create",account,"got,create,account",account,set_up,Positive
"i havent got an online account, can i create one?","got,create",account,"got,create,account",account,set_up,Positive
"I've got no online account, create one","got,create",account,"got,create,account",account,set_up,Negative
"i havent got an account, how do i create one?","got,create",account,"got,create,account",account,set_up,Positive
"I haven't got an online account, how do I create one?","got,create",account,"got,create,account",account,set_up,Positive
"I've got no online account, can I create one?","got,create",account,"got,create,account",account,set_up,Negative
"i havent got an online account, could u create one?","got,create",account,"got,create,account",account,set_up,Positive
"I've got no online account, can you create one?","got,create",account,"got,create,account",account,set_up,Negative
"I've got no fucking online account, could you create one?","got,create",account,"got,create,account",account,set_up,Negative
"I've got no account, how do I create one?","got,create",account,"got,create,account",account,set_up,Negative
"I haven't got an online account, create one","got,create",account,"got,create,account",account,set_up,Positive
"I haven't  got an online account, can I create one?","got,create",account,"got,create,account",account,set_up,Positive
"I haven't got an account, how can I create one?","got,create",account,"got,create,account",account,set_up,Positive
"I've got no account, how can I create one?","got,create",account,"got,create,account",account,set_up,Negative
"I haven't got an account, can you create one?","got,create",account,"got,create,account",account,set_up,Positive
i havent got an account and i wanna create one,"got,create",account,"got,create,account",account,set_up,Positive
"i havent got an online account, create one","got,create",account,"got,create,account",account,set_up,Positive
"i havent got an account, can i create one?","got,create",account,"got,create,account",account,set_up,Positive
help me create an account,"help,create",account,"help,create,account",account,set_up,Positive
can you help me to create an account?,"help,create",account,"help,create,account",account,set_up,Positive
help me to create an account,"help,create",account,"help,create,account",account,set_up,Positive
help to create another online account,"help,create",account,"help,create,account",account,set_up,Positive
could you help me to create a new online account?,"help,create",account,"help,create,account",account,set_up,Positive
can you help me create an account?,"help,create",account,"help,create,account",account,set_up,Positive
help to create an account,"help,create",account,"help,create,account",account,set_up,Positive
could you help me create an account?,"help,create",account,"help,create,account",account,set_up,Positive
could you help me to create an account?,"help,create",account,"help,create,account",account,set_up,Positive
help me create an online account,"help,create",account,"help,create,account",account,set_up,Positive
I try to create an account,"try,create",account,"try,create,account",account,set_up,Positive
I try to create a new account,"try,create",account,"try,create,account",account,set_up,Positive
I try to create a bloody online account,"try,create",account,"try,create,account",account,set_up,Negative
can I open a different online account?,open,account,"open,account",account,set_up,Neutral
how to open a different account?,open,account,"open,account",account,set_up,Neutral
how do I open an account?,open,account,"open,account",account,set_up,Neutral
can I open a different account?,open,account,"open,account",account,set_up,Neutral
how to open another account?,open,account,"open,account",account,set_up,Neutral
how to open a new standard account?,open,account,"open,account",account,set_up,Neutral
how to open a different online account,open,account,"open,account",account,set_up,Neutral
how can I open an online account?,open,account,"open,account",account,set_up,Neutral
where to open an account,open,account,"open,account",account,set_up,Neutral
how can I open an account?,open,account,"open,account",account,set_up,Neutral
how do I open  an account?,open,account,"open,account",account,set_up,Neutral
where do i open an account?,open,account,"open,account",account,set_up,Neutral
where do I open an account?,open,account,"open,account",account,set_up,Neutral
can I open an online account?,open,account,"open,account",account,set_up,Neutral
where can I open an online account?,open,account,"open,account",account,set_up,Neutral
where can I open an account?,open,account,"open,account",account,set_up,Neutral
can I open an account?,open,account,"open,account",account,set_up,Neutral
how do I open an online account?,open,account,"open,account",account,set_up,Neutral
where can i open an online account?,open,account,"open,account",account,set_up,Neutral
how to open an account,open,account,"open,account",account,set_up,Neutral
how can i open an account?,open,account,"open,account",account,set_up,Neutral
where do I open an online account?,open,account,"open,account",account,set_up,Neutral
could you help me register?,"help,register",,"help,register,",account,set_up,Positive
help to register,"help,register",,"help,register,",account,set_up,Positive
help me register,"help,register",,"help,register,",account,set_up,Positive
can you help me register?,"help,register",,"help,register,",account,set_up,Positive
help me to register,"help,register",,"help,register,",account,set_up,Positive
could you help me to register?,"help,register",,"help,register,",account,set_up,Positive
can you help me to register?,"help,register",,"help,register,",account,set_up,Positive
help me register,"help,register",,"help,register,",account,set_up,Positive
I need to create an account,"need,create",account,"need,create,account",account,set_up,Positive
I need to create a different online account,"need,create",account,"need,create,account",account,set_up,Positive
"I need an account, how can I create one?","need,create",account,"need,create,account",account,set_up,Positive
"I need an account, how do I create one?","need,create",account,"need,create,account",account,set_up,Positive
"I need an online account, could you create one, please?","need,create",account,"need,create,account",account,set_up,Positive
"i need an account, how can i create one?","need,create",account,"need,create,account",account,set_up,Positive
"I need an online account, how do I create one?","need,create",account,"need,create,account",account,set_up,Positive
"I need an online account, create one","need,create",account,"need,create,account",account,set_up,Positive
"i need an account, can i create one?","need,create",account,"need,create,account",account,set_up,Positive
"I need an account, can you create one?","need,create",account,"need,create,account",account,set_up,Positive
"i need an online account, can u create one ?","need,create",account,"need,create,account",account,set_up,Positive
"I need an account, create one","need,create",account,"need,create,account",account,set_up,Positive
"I need an online account, can you create one?","need,create",account,"need,create,account",account,set_up,Positive
"I need an online account, how can I create one?","need,create",account,"need,create,account",account,set_up,Positive
"I need an account, can I create one?","need,create",account,"need,create,account",account,set_up,Positive
I don't know how to create an account,"know,create",account,"know,create,account",account,set_up,Positive
I don't know how I can create an account,"know,create",account,"know,create,account",account,set_up,Positive
I don't know how to create a basic account,"know,create",account,"know,create,account",account,set_up,Positive
I don't know how I could create another standard account,"know,create",account,"know,create,account",account,set_up,Positive
I do not know how I could create an account,"know,create",account,"know,create,account",account,set_up,Positive
I don't know how I could create an account,"know,create",account,"know,create,account",account,set_up,Positive
I do not know how I can create an account,"know,create",account,"know,create,account",account,set_up,Positive
I do not know how to create an account,"know,create",account,"know,create,account",account,set_up,Positive
i do not know how to create a new account,"know,create",account,"know,create,account",account,set_up,Positive
i dont know how i can create a new online account,"know,create",account,"know,create,account",account,set_up,Positive
I have to open another online account,"have,open",account,"have,open,account",account,set_up,Neutral
i have to open a different account,"have,open",account,"have,open,account",account,set_up,Neutral
"I have no online account, open one, please","have,open",account,"have,open,account",account,set_up,Positive
"I have no account, how do I open one?","have,open",account,"have,open,account",account,set_up,Negative
"I don't have an online account, open one","have,open",account,"have,open,account",account,set_up,Neutral
"I have no account, open one","have,open",account,"have,open,account",account,set_up,Negative
"I have no online account, can I open one?","have,open",account,"have,open,account",account,set_up,Negative
"I don't have an account, how do I open one?","have,open",account,"have,open,account",account,set_up,Neutral
"I don't have an account, can you open one?","have,open",account,"have,open,account",account,set_up,Neutral
"i have no account, can u open one?","have,open",account,"have,open,account",account,set_up,Negative
"I have no online account, open one","have,open",account,"have,open,account",account,set_up,Negative
"I don't have an online account, how can I open one?","have,open",account,"have,open,account",account,set_up,Neutral
"i dont have an account, can i open one?","have,open",account,"have,open,account",account,set_up,Neutral
"I have no online account, how can I open one?","have,open",account,"have,open,account",account,set_up,Negative
"I have no account, can I open one?","have,open",account,"have,open,account",account,set_up,Negative
"I don't have an account, open one","have,open",account,"have,open,account",account,set_up,Neutral
"I have no account, how can I open one?","have,open",account,"have,open,account",account,set_up,Negative
"I have no fucking account, can you open one?","have,open",account,"have,open,account",account,set_up,Negative
"i dont have an online account, can i open one?","have,open",account,"have,open,account",account,set_up,Neutral
"I don't have an online account, what should I do ot open one?","have,open",account,"have,open,account",account,set_up,Neutral
"I have no account, can you open one?","have,open",account,"have,open,account",account,set_up,Negative
"i dont have an account, open one","have,open",account,"have,open,account",account,set_up,Neutral
"i have no online account, could u open one, please?","have,open",account,"have,open,account",account,set_up,Positive
"i dont have an online account, open one","have,open",account,"have,open,account",account,set_up,Neutral
"I don't have an online account, can you open one?","have,open",account,"have,open,account",account,set_up,Neutral
"i dont have an account, how do i open one?","have,open",account,"have,open,account",account,set_up,Neutral
"I have no online account, can you open one?","have,open",account,"have,open,account",account,set_up,Negative
"I have no online account, how do I open one?","have,open",account,"have,open,account",account,set_up,Negative
"I don't have an online account, can I open one?","have,open",account,"have,open,account",account,set_up,Neutral
"I don't have an online account, how do I open one?","have,open",account,"have,open,account",account,set_up,Neutral
"i have no online account, can u open one?","have,open",account,"have,open,account",account,set_up,Negative
what do I have to do to create an account?,"have,do,create",account,"have,do,create,account",account,set_up,Positive
what do I have to do to create a new account ?,"have,do,create",account,"have,do,create,account",account,set_up,Positive
"I don't have an account, what can I do to create one?","have,do,create",account,"have,do,create,account",account,set_up,Positive
"I have no account, what can I do to create one?","have,do,create",account,"have,do,create,account",account,set_up,Negative
"I have no account, what should I do to  create one?","have,do,create",account,"have,do,create,account",account,set_up,Negative
"I don't have an account, what should I do to create one?","have,do,create",account,"have,do,create,account",account,set_up,Positive
"I don't have an online account, what should I do to create one?","have,do,create",account,"have,do,create,account",account,set_up,Positive
"I have no online account, what can I do to create one?","have,do,create",account,"have,do,create,account",account,set_up,Negative
