,verb_noun,counts,Subject,Intent
154,"change,profile",14,account,enquiry
155,"tell,create,user,accounts,email",14,account,set_up
156,"understand,talk,",14,customer_support ,enquiry
157,"hacked,recover,user,account",14,account,restoration
158,"have,speak,question",14,customer_support ,enquiry
159,"understand,talk,person",14,customer_support ,enquiry
160,"ask,inform,paying,agent,problem",14,complaint,enquiry
161,"have,paying,report,problem,order",14,complaint,enquiry
162,"have,trying,pay,inform,problem,order",14,complaint,enquiry
163,"lodge,complaint",14,complaint,enquiry
164,"make,complaint",14,complaint,enquiry
165,"show,mail",14,customer_support ,enquiry
166,"have,talk,question",14,customer_support ,enquiry
167,"helping,contact,human",14,customer_support ,enquiry
168,"want,call,information",14,customer_support ,enquiry
169,"ask,report,making,agent,issues,payment",14,complaint,enquiry
170,"need,send,information,email",14,customer_support ,enquiry
171,"ask,create,agent,account",14,account,set_up
172,"ask,track,agent,package",14,order,enquiry
173,"helping,contact,person",14,customer_support ,enquiry
174,"need,contact,information",13,customer_support ,enquiry
175,"tell,change,order",13,order,modification
176,"ask,reset,agent,account,password",13,account,restoration
177,"understand,speak,",13,customer_support ,enquiry
178,"tell,create,user,accounts,email,address",13,account,set_up
179,"tell,check,shipments",13,order,enquiry
180,"tell,register,profiles,email,address",13,account,set_up
181,"show,phone,number",13,customer_support ,enquiry
182,"ask,file,agent,complaint",13,complaint,enquiry
183,"have,register,user,account",13,account,set_up
184,"got,register,user,account",13,account,set_up
185,"ask,obtain,agent,invoice",13,invoice,enquiry
186,"receive,newsletter",13,newletter,enquiry
187,"want,know,register,accounts,email",13,account,set_up
188,"got,do,register,account",13,account,enquiry
189,"got,open,user,account",13,account,enquiry
190,"obtain,reimbursement",13,refund,enquiry
191,"have,create,profile",13,account,set_up
192,"tell,create,profiles,email,address",13,account,set_up
193,"get,money",13,refund,enquiry
194,"need,talk,information",13,customer_support ,enquiry
195,"ask,notify,agent,issues,payment",13,complaint,enquiry
196,"show,email,address",13,customer_support ,enquiry
197,"want,know,register,accounts,email,address",13,account,set_up
198,"send,email",13,customer_support ,enquiry
199,"changed,delete,mind,account",13,account,deletion
200,"ask,report,paying,agent,problem",13,complaint,enquiry
201,"help,check,status,refund",13,refund,enquiry
202,"cancel,company,newsletter,subscription",13,newletter,cancellation
203,"ask,inform,paying,agent,issues",13,complaint,enquiry
204,"check,ticket,delivery,options",13,delivery,enquiry
205,"ask,delete,agent,account",13,account,deletion
206,"ask,request,agent,reimbursement",13,refund,enquiry
207,"know,buy,item",13,purchase,enquiry
208,"get,refund,money",13,refund,enquiry
209,"got,do,account",13,account,enquiry
210,"want,open,account",13,account,set_up
211,"ask,inform,agent,payment,problems",13,complaint,enquiry
212,"have,contact,question",13,customer_support ,enquiry
213,"help,deleting,account",12,account,deletion
214,"hacked,do,recover,account",12,account,restoration
215,"ask,change,agent,purchase",12,purchase,modification
216,"understand,talk,agent",12,customer_support ,enquiry
217,"leave,opinion,service",12,feedback,enquiry
218,"notify,problem,payment",12,complaint,enquiry
219,"got,do,open,account",12,account,enquiry
220,"tell,check,delivery",12,delivery,enquiry
221,"tell,changing,shipping,address",12,shipping address,modification
222,"know,change,shipping,address",12,shipping address,modification
223,"check,accept,payment,methods",12,payment methods,enquiry
224,"tell,create,account,email",12,account,set_up
225,"helping,speak,",12,customer_support ,enquiry
226,"tell,check,package",12,delivery,enquiry
227,"ask,notify,making,agent,problem,payment",12,complaint,enquiry
228,"ask,inform,agent,issue,payment",12,complaint,enquiry
229,"need,speak,information",12,customer_support ,enquiry
230,"tell,request,invoice",12,invoice,enquiry
231,"help,cancel,made,order",12,order,cancellation
232,"want,send,information,email",12,customer_support ,enquiry
233,"tell,delivery,period",12,delivery,enquiry
234,"ask,lodge,agent,complaint,service",12,complaint,enquiry
235,"ask,check,agent,bills",12,invoice,enquiry
236,"ask,notify,making,agent,problems,payment",12,complaint,enquiry
237,"ask,report,agent,issues,payment",12,complaint,enquiry
238,"ask,report,agent,payment,problems",12,complaint,enquiry
239,"ask,see,agent,invoice",12,invoice,enquiry
240,"want,contact,information",12,customer_support ,enquiry
241,"ask,report,making,agent,problems,payment",12,complaint,enquiry
242,"have,trying,pay,report,issue,order",12,complaint,enquiry
243,"ask,check,agent,package",12,delivery,enquiry
244,"help,tracking,order",12,order,enquiry
245,"show,contact,phone,number",12,customer_support ,enquiry
246,"helping,speak,human",12,customer_support ,enquiry
247,"have,create,user,account",12,account,set_up
248,"ask,check,agent,invoice",12,customer_support ,enquiry
249,"ask,notify,agent,payment,issue",12,complaint,enquiry
250,"tell,check,order",12,order,enquiry
251,"ask,report,agent,payment,issues",12,complaint,enquiry
252,"ask,retrieve,agent,password",12,account,restoration
253,"obtain,invoice",12,invoice,enquiry
254,"show,number",12,customer_support ,enquiry
255,"notify,paying,issue",11,complaint,enquiry
256,"inform,making,problem,payment",11,complaint,enquiry
257,"ask,notify,agent,payment,problems",11,complaint,enquiry
258,"tell,modify,order",11,order,modification
259,"request,reimbursement",11,refund,enquiry
260,"have,do,create,account",11,account,set_up
261,"understand,contact,agent",11,customer_support ,enquiry
262,"report,issues,payment",11,complaint,enquiry
263,"lodge,consumer,complaint",11,complaint,enquiry
264,"understand,contact,",11,customer_support ,enquiry
265,"request,refund",11,refund,enquiry
266,"cancel,subscription,company,newsletter",11,newletter,cancellation
267,"ask,receive,agent,refund",11,refund,enquiry
268,"ask,report,paying,agent,issues",11,complaint,enquiry
269,"ask,get,agent,refund",11,refund,enquiry
270,"help,talk,agent",11,customer_support ,enquiry
271,"view,payment,methods",11,payment methods,enquiry
272,"tell,download,bill",11,invoice,enquiry
273,"stole,retrieve,account,password",11,account,restoration
274,"ask,solve,agent,issue,payment",11,payment methods,restoration
275,"help,canceling,made,order",11,order,cancellation
276,"obtain,bill",11,invoice,enquiry
277,"file,complaint,business",11,complaint,enquiry
278,"tell,contact,email",11,customer_support ,enquiry
279,"create,accounts,email,address",11,account,set_up
280,"inform,paying,issues",11,complaint,enquiry
281,"have,paying,inform,problem,order",11,complaint,enquiry
282,"helping,talk,person",11,customer_support ,enquiry
283,"ask,report,making,agent,problem,payment",11,complaint,enquiry
284,"check,status,reimbursement",11,refund,enquiry
285,"check,package",11,delivery,enquiry
286,"ask,inform,agent,payment,problem",11,complaint,enquiry
287,"inform,making,issues,payment",11,complaint,enquiry
288,"tell,obtain,invoice",11,invoice,enquiry
289,"tell,obtain,bill",11,invoice,enquiry
290,"ask,inform,agent,problem,payment",11,complaint,enquiry
291,"see,refund,policy",11,refund,enquiry
292,"changed,cancel,mind,account",11,account,deletion
293,"have,paying,notify,issue,order",11,complaint,enquiry
294,"tell,check,shipment",11,order,enquiry
295,"want,get,tell,do,bill",11,invoice,enquiry
296,"check,orders",11,order,enquiry
297,"ask,remove,agent,user,account",11,order,enquiry
298,"want,download,tell,do,bill",11,invoice,enquiry
299,"forgot,retrieve,password",11,account,restoration
300,"want,request,tell,do,bill",11,invoice,enquiry
301,"ask,receive,agent,reimbursement",11,refund,enquiry
302,"want,change,tell,do,order",11,order,modification
303,"create,user,account",11,account,set_up
304,"ask,inform,paying,agent,issue",11,complaint,enquiry
305,"remove,user,account",11,account,deletion
306,"tell,subscribe,newsletter",11,newletter,subscription
307,"help,get,invoices",11,invoice,enquiry
308,"tell,contact,mail",11,customer_support ,enquiry
309,"ask,request,agent,invoice",11,invoice,enquiry
310,"tell,get,bill",11,invoice,enquiry
311,"help,check,take,refunds",11,refund,enquiry
312,"tell,download,invoice",11,invoice,enquiry
313,"track,package",11,order,enquiry
314,"tell,receive,newsletter",11,newletter,enquiry
315,"register,accounts,email",11,account,set_up
316,"tell,see,invoice",10,invoice,enquiry
317,"leave,review,services",10,feedback,enquiry
318,"tell,change,purchase",10,purchase,modification
319,"ask,register,agent",10,account,set_up
320,"check,money,guarantee",10,refund,enquiry
321,"tell,see,bill",10,invoice,enquiry
322,"want,see,tell,do,bill",10,invoice,enquiry
323,"see,ticket,delivery,options",10,delivery,enquiry
324,"want,create,user,account",10,account,set_up
325,"tell,get,invoice",10,invoice,enquiry
326,"want,subscribe,tell,do,newsletter",10,newletter,subscription
327,"check,reimbursement,policy",10,refund,enquiry
328,"hacked,do,get,account",10,account,restoration
329,"file,complaint,service",10,complaint,enquiry
330,"help,create,account",10,account,set_up
331,"ask,request,agent,bills",10,invoice,enquiry
332,"tell,register,profiles,email",10,account,set_up
333,"know,create,account",10,account,set_up
334,"want,cancel,account",10,account,deletion
335,"submit,feedback",10,feedback,enquiry
336,"lodge,complaint,service",10,complaint,enquiry
337,"submit,feedback,company",10,feedback,enquiry
338,"tell,check,orders",10,order,enquiry
339,"inform,paying,problems",10,payment methods,enquiry
340,"write,opinion",10,feedback,enquiry
341,"check,status,purchase",10,purchase,enquiry
342,"tell,contact,phone,number",10,customer_support ,enquiry
343,"help,change,made,order",10,order,modification
344,"want,get,tell,do,invoice",10,invoice,enquiry
345,"tell,track,order",10,order,enquiry
346,"check,shipments",10,order,enquiry
347,"contact,customer,service",10,customer_support ,enquiry
348,"have,trying,pay,notify,issue,order",10,complaint,enquiry
349,"ask,view,agent,status,purchase",10,purchase,enquiry
350,"create,accounts,email",10,account,set_up
351,"tell,track,orders",10,order,enquiry
352,"check,cancellation,penalty",10,cancellation_fee,enquiry
353,"want,know,download,bill",10,invoice,enquiry
354,"track,packages",10,order,enquiry
355,"request,invoice",10,invoice,enquiry
356,"check,cancellation,penalties",10,cancellation_fee,enquiry
357,"ask,track,agent,shipments",10,order,enquiry
358,"help,switch,account",10,account,switch
359,"use,account",10,account,set_up
360,"check,hours,customer,service",10,customer_support ,enquiry
361,"check,arrive,item",10,order,enquiry
362,"notify,payment,problem",10,complaint,enquiry
363,"report,making,issue,payment",10,complaint,enquiry
364,"receive,view,invoices",10,invoice,enquiry
365,"help,cancel,order",10,order,cancellation
366,"ask,solve,agent,payment,problem",10,payment methods,enquiry
367,"show,contact,number",10,customer_support ,enquiry
368,"view,payment,options",10,payment methods,enquiry
369,"report,paying,problem",10,complaint,enquiry
370,"check,packages",10,delivery,enquiry
371,"view,status,refund",10,refund,enquiry
372,"switch,profile",10,account,switch
373,"check,is,updates,refund",10,refund,enquiry
374,"check,contact,hours,customer,service",10,customer_support ,enquiry
375,"show,status,refund",10,refund,enquiry
376,"help,check,refund,status",10,refund,enquiry
377,"notify,paying,problem",10,complaint,enquiry
378,"get,refunds,money",10,refund,enquiry
379,"tell,register,user,accounts,email",10,account,set_up
380,"ask,inform,agent,payment,issue",10,complaint,enquiry
381,"help,buying,item",10,purchase,enquiry
382,"track,orders",10,order,enquiry
383,"tell,track,shipments",10,order,enquiry
384,"obtain,refund",10,refund,enquiry
385,"track,delivery",10,order,enquiry
386,"get,refunds",10,refund,enquiry
387,"ask,switch,agent,account",10,account,switch
388,"ask,recover,agent,account,password",10,account,restoration
389,"write,opinion,service",10,feedback,enquiry
390,"want,see,tell,do,invoice",10,invoice,enquiry
391,"have,account",10,account,set_up
392,"help,check,payment,methods",10,payment methods,enquiry
393,"got,create,profile",10,account,set_up
394,"forgot,reset,account,password",10,account,restoration
395,"have,do,account",10,account,set_up
396,"track,shipments",10,order,enquiry
397,"helping,speak,person",10,customer_support ,enquiry
398,"want,download,tell,do,invoice",10,invoice,enquiry
399,"tell,track,shipment",10,order,enquiry
400,"check,shipment",10,order,enquiry
401,"ask,check,agent,shipments",10,order,enquiry
402,"ask,report,agent,problem,payment",10,complaint,enquiry
403,"track,shipment",10,order,enquiry
404,"notify,paying,issues",9,complaint,enquiry
405,"lodge,consumer,complaint,service",9,complaint,enquiry
406,"notify,making,issue,payment",9,complaint,enquiry
407,"report,issue,payments",9,complaint,enquiry
408,"ask,delete,agent,user,account",9,account,deletion
409,"got,attempted,make,charged,report,error,payment,card",9,complaint,enquiry
410,"speak,person",9,customer_support ,enquiry
411,"ask,notify,agent,payment,issues",9,complaint,enquiry
412,"got,attempted,make,charged,inform,error,message,payment",9,complaint,enquiry
413,"create,profiles,email",9,account,set_up
414,"ask,solve,agent,payment,issues",9,payment methods,restoration
415,"have,trying,pay,inform,issue,card",9,complaint,enquiry
416,"report,paying,issue",9,complaint,enquiry
417,"ask,retrieve,agent,account,password",9,account,restoration
418,"file,consumer,complaint",9,complaint,enquiry
419,"inform,paying,issue",9,complaint,enquiry
420,"show,email",9,customer_support ,enquiry
421,"like,submit,service,consumer,complaint",9,complaint,enquiry
422,"ask,make,agent,consumer,complaint",9,complaint,enquiry
423,"file,consumer,complaint,service",9,complaint,enquiry
424,"inform,issue,payment",9,complaint,enquiry
425,"ask,inform,making,agent,problem,payment",9,complaint,enquiry
426,"modify,purchase",9,purchase,modification
427,"view,bill",9,invoice,enquiry
428,"ask,modify,agent,order",9,order,modification
429,"want,modify,tell,do,purchase",9,purchase,modification
430,"want,check,tell,do,package",9,order,enquiry
431,"help,get,refund",9,refund,enquiry
432,"view,cancellation,penalties",9,cancellation_fee,enquiry
433,"get,invoices,purchase",9,invoice,enquiry
434,"see,cancellation,fee",9,cancellation_fee,enquiry
435,"tell,track,delivery",9,order,enquiry
436,"know,get,invoice",9,invoice,enquiry
437,"ask,delete,agent,profile",9,account,deletion
438,"view,ticket,delivery,options",9,delivery,enquiry
439,"know,buy,items",9,purchase,enquiry
440,"see,options,delivery",9,delivery,enquiry
441,"remember,retrieve,password",9,account,restoration
442,"need,do,create,account",9,account,set_up
443,"notify,payment,problems",9,complaint,enquiry
444,"helping,do,talk,human",9,customer_support ,enquiry
445,"hacked,do,profile",9,account,restoration
446,"tell,track,package",9,order,enquiry
447,"want,close,profile",9,account,deletion
448,"ask,notify,paying,agent,issue",9,complaint,enquiry
449,"ask,change,agent,order",9,order,modification
450,"want,track,tell,do,shipments",9,order,enquiry
451,"ask,inform,agent,payment,issues",9,complaint,enquiry
452,"see,status,order",9,order,enquiry
453,"talk,human",9,customer_support ,enquiry
454,"ask,check,agent,shipment",9,order,enquiry
455,"ask,reset,agent,password",9,account,restoration
456,"notify,payment,issue",9,complaint,enquiry
457,"ask,report,agent,payment,issue",9,complaint,enquiry
458,"view,status,order",9,order,enquiry
459,"check,take,refunds",9,refund,enquiry
460,"remember,recover,password",9,account,restoration
461,"have,paying,report,problem",9,complaint,enquiry
462,"check,bills",9,invoice,enquiry
463,"receive,view,invoice",9,invoice,enquiry
464,"find,view,bills",9,invoice,enquiry
465,"edit,information",9,account,modification
466,"ask,check,agent,bill",9,invoice,enquiry
467,"find,check,bill",9,invoice,enquiry
468,"modify,shipping,address",9,shipping address,modification
469,"write,comment,service",9,feedback,enquiry
470,"edit,information,account",9,account,modification
471,"want,obtain,tell,do,bill",9,invoice,enquiry
472,"change,user,account",9,account,modification
473,"want,obtain,tell,do,invoice",9,invoice,enquiry
474,"tell,register,user,accounts,email,address",9,account,set_up
475,"check,takes,delivery",9,delivery,enquiry
476,"switch,user,account",9,account,switch
477,"check,bill",9,invoice,enquiry
478,"ask,create,agent,profile",9,account,set_up
479,"download,bill",9,invoice,enquiry
480,"ask,update,agent,shipping,address",9,shipping address,modification
481,"ask,obtain,agent,refund",9,refund,enquiry
482,"need,create,user,account",9,account,set_up
483,"receive,reimbursement",9,refund,enquiry
484,"request,bill",9,invoice,enquiry
485,"edit,account",9,account,modification
486,"wanna,know,register,accounts,email",9,account,set_up
487,"get,reimbursement",9,refund,enquiry
488,"tell,delivery,periods",9,delivery,enquiry
489,"change,made,order",9,order,modification
490,"ask,leave,agent,review",9,feedback,enquiry
491,"leave,comment",9,feedback,enquiry
492,"view,invoice",9,invoice,enquiry
493,"tell,create,account,email,address",9,account,set_up
494,"receive,refund",9,refund,enquiry
495,"ask,see,agent,bills",9,invoice,enquiry
496,"help,cancelling,made,order",9,order,cancellation
497,"tell,request,bill",9,invoice,enquiry
498,"get,bill",9,invoice,enquiry
499,"receive,check,invoices",9,invoice,enquiry
500,"know,check,status,refund",9,refund,enquiry
501,"write,review",8,feedback,enquiry
502,"ask,get,agent,invoices",8,invoice,enquiry
503,"ask,notify,paying,agent,problem",8,complaint,enquiry
504,"ask,view,agent,bills",8,invoice,enquiry
505,"have,do,register,account",8,account,set_up
506,"help,buy,items",8,purchase,enquiry
507,"inform,problem,payment",8,complaint,enquiry
508,"have,do,open,account",8,account,set_up
509,"notify,problems,payment",8,complaint,enquiry
510,"view,reimbursement,policy",8,refund,enquiry
511,"tell,hours",8,customer_support ,enquiry
512,"ask,check,agent,orders",8,order,enquiry
513,"check,time,customer,service",8,customer_support ,enquiry
514,"ask,view,agent,refund,policy",8,refund,enquiry
515,"delete,profile",8,account,deletion
516,"remember,reset,account,password",8,account,restoration
517,"help,changing,shipping,address",8,shipping address,modification
518,"have,help,account",8,account,set_up
519,"ask,notify,making,agent,issues,payment",8,complaint,enquiry
520,"know,check,refund,status",8,refund,enquiry
521,"got,tried,make,charged,notify,error,message,payment,card",8,complaint,enquiry
522,"have,making,notify,issue,payment",8,complaint,enquiry
523,"contact,number",8,customer_support ,enquiry
524,"see,payment,options",8,payment methods,enquiry
525,"have,making,inform,problem,payment",8,complaint,enquiry
526,"notify,making,problems,payment",8,complaint,enquiry
527,"help,contact,agent",8,customer_support ,enquiry
528,"ask,inform,making,agent,issues,payment",8,complaint,enquiry
529,"ask,leave,agent,opinion,service",8,feedback,enquiry
530,"ask,inform,agent,issues,payment",8,complaint,enquiry
531,"help,solve,payment,issues",8,payment methods,enquiry
532,"ordered,change,product,order",8,order,modification
533,"forgot,recover,account,password",8,account,restoration
534,"place,order",8,order,enquiry
535,"modify,order",8,order,modification
536,"leave,opinion",8,feedback,enquiry
537,"got,tried,make,charged,report,error,payment,card",8,complaint,enquiry
538,"tell,register,account,email",8,account,set_up
539,"want,change,tell,do,purchase",8,purchase,modification
540,"bought,modify,item,purchase",8,purchase,modification
541,"want,know,change,purchase",8,purchase,modification
542,"help,checking,take,refunds",8,refund,enquiry
543,"report,payment,problems",8,complaint,enquiry
544,"show,take,refunds",8,refund,enquiry
545,"stole,retrieve,password",8,account,restoration
546,"help,cancelling,order",8,order,cancellation
547,"check,going,arrive,item",8,order,enquiry
548,"notify,making,issues,payment",8,complaint,enquiry
549,"notify,issue,payment",8,complaint,enquiry
550,"got,attempted,make,charged,inform,error,message,payment,card",8,complaint,enquiry
551,"ask,solve,paying,agent,problem",8,payment methods,enquiry
552,"know,do,set,shipping,address",8,shipping address,set_up
553,"view,money,guarantee",8,refund,enquiry
554,"notify,payment,issues",8,complaint,enquiry
555,"have,paying,report,issue",8,complaint,enquiry
556,"have,trying,pay,do,issue,order",8,payment methods,enquiry
557,"help,recover,password",8,account,restoration
558,"help,subscribe,company,newsletter",8,newletter,subscription
559,"write,review,service",8,feedback,enquiry
560,"want,delete,profile",8,account,deletion
561,"download,invoice",8,invoice,enquiry
562,"want,create,profile",8,account,set_up
563,"leave,review,company",8,feedback,enquiry
564,"view,delivery,options",8,delivery,enquiry
565,"help,get,invoice",8,invoice,enquiry
566,"want,get,refund",8,refund,enquiry
567,"ask,check,agent,delivery",8,delivery,enquiry
568,"want,obtain,refund",8,refund,enquiry
569,"notify,making,problem,payment",8,complaint,enquiry
570,"ask,see,agent,reimbursement,policy",8,refund,enquiry
571,"understand,do,talk,person",8,customer_support ,enquiry
572,"help,register,",8,account,set_up
573,"help,contact,customer,service",8,customer_support ,enquiry
574,"got,tried,pay,charged,report,error,message,card",8,complaint,enquiry
575,"help,use,account",8,account,set_up
576,"help,file,complaint",8,complaint,enquiry
577,"got,attempted,pay,charged,notify,error",8,complaint,enquiry
578,"make,consumer,complaint",8,complaint,enquiry
579,"want,track,tell,do,delivery",8,order,enquiry
580,"like,lodge,service,complaint",8,complaint,enquiry
581,"have,paying,notify,problem,card",8,complaint,enquiry
582,"got,tried,make,charged,report,error,message,payment,card",8,complaint,enquiry
583,"ask,obtain,agent,bills",8,invoice,enquiry
584,"make,complaint,service",8,complaint,enquiry
585,"view,bills",8,invoice,enquiry
586,"ask,make,agent,complaint,service",8,complaint,enquiry
587,"ask,set,agent,shipping,address",8,shipping address,set_up
588,"tell,own,account",8,account,enquiry
589,"like,make,service,complaint",8,complaint,enquiry
590,"track,reimbursement",8,refund,enquiry
591,"know,do,track,order",8,order,enquiry
592,"ask,track,agent,orders",8,order,enquiry
593,"tell,check,packages",8,delivery,enquiry
594,"ask,file,agent,complaint,service",8,complaint,enquiry
595,"ask,request,agent,refund",8,refund,enquiry
596,"help,checking,payment,methods",8,payment methods,enquiry
597,"tell,create,profiles,email",8,account,set_up
598,"want,check,tell,do,shipment",8,order,enquiry
599,"want,request,tell,do,invoice",8,invoice,enquiry
600,"write,comment",8,feedback,enquiry
601,"report,problems,payment",8,complaint,enquiry
602,"help,check,cancellation,fee",8,cancellation_fee,enquiry
603,"postponed,obtain,show,refund",8,refund,enquiry
604,"make,consumer,complaint,service",8,complaint,enquiry
605,"notify,paying,problems",8,complaint,enquiry
606,"want,know,mail",8,customer_support ,enquiry
607,"want,track,tell,do,packages",8,order,enquiry
608,"inform,payment,issues",8,complaint,enquiry
609,"hacked,do,account",8,account,restoration
610,"know,talk,agent",8,customer_support ,enquiry
611,"got,attempted,pay,charged,inform,error,message",8,complaint,enquiry
